Time,STFT,LTFT,Pressure
55551.612103,0.0,0.0,20.0
55552.283103,0.0,0.0,32.0
55552.950103,0.0,-3.125,38.0
55553.681103,4.6875,-3.125,54.0
55554.364103,5.46875,-3.125,51.0
55555.066103,0.78125,-3.125,44.0
55555.750103,1.5625,-2.34375,44.0
55556.452103,1.5625,0.0,38.0
55557.151103,0.0,2.34375,21.0
55557.811103,0.0,3.90625,19.0
55558.491103,0.0,3.90625,20.0
55559.169103,0.0,4.6875,20.0
55559.872103,0.0,99.21875,18.0
55560.549103,0.0,99.21875,19.0
55561.239103,0.0,99.21875,18.0
55561.901103,0.0,99.21875,18.0
55562.598103,0.0,99.21875,19.0
55563.300103,0.0,99.21875,19.0
55564.048103,0.0,99.21875,20.0
55564.762103,0.0,99.21875,20.0
55565.435103,0.0,99.21875,20.0
55566.145103,0.0,99.21875,20.0
55566.865103,0.0,99.21875,20.0
55567.619103,0.0,99.21875,19.0
